updatedAt,price,originalPrice,rating,reviewCount,stock,badge,specs,createdAt,sellerName,slug,title,description,id,sellerId,images,categoryId,tags
2025-10-15 16:24:39,45803.99,59618.28,4.3,3427,192,,"{""Brand"": ""Havells"", ""Color"": ""White"", ""Warranty"": ""1 Year"", ""Material"": ""Cotton""}",2025-10-09 16:24:39,SuperComNet,havells-cookware-set-1549,Havells Cookware Set,High quality Havells Cookware Set from Havells. Perfect for daily use. This Cookware Set is highly rated and recommended for customers in India.,943605cb-db4f-4f7c-98ef-84b0a9bc0c96,82ae18f7-d642-4a0a-9318-70a41c42069c,"['https://example.com/images/943605cb-db4f-4f7c-98ef-84b0a9bc0c96_1.jpg', 'https://example.com/images/943605cb-db4f-4f7c-98ef-84b0a9bc0c96_2.jpg']",cat_home_02,"['home & kitchen', 'havells', 'india', 'trending']"
2025-11-22 16:24:39,3971.84,5655.85,4.4,4835,132,Amazon's Choice,"{""Brand"": ""The Derma Co"", ""Color"": ""Blue"", ""Warranty"": ""2 Year"", ""Material"": ""Cotton""}",2025-10-25 16:24:39,Cocoblu Retail,the-derma-co-perfume-2201,The Derma Co Perfume,High quality The Derma Co Perfume from The Derma Co. Perfect for daily use. This Perfume is highly rated and recommended for customers in India.,f016b777-f6cf-449c-8bed-63454bb70bce,36660673-64c2-4bf0-a748-a47176a624bc,"['https://example.com/images/f016b777-f6cf-449c-8bed-63454bb70bce_1.jpg', 'https://example.com/images/f016b777-f6cf-449c-8bed-63454bb70bce_2.jpg']",cat_beau_04,"['beauty & personal care', 'the derma co', 'india', 'trending']"
2026-01-10 16:24:39,20205.02,26730.12,4.6,4585,67,Bestseller,"{""Brand"": ""Happilo"", ""Color"": ""White"", ""Warranty"": ""1 Year"", ""Material"": ""Cotton""}",2025-12-30 16:24:39,RetailNet,happilo-organic-honey-6642,Happilo Organic Honey,High quality Happilo Organic Honey from Happilo. Perfect for daily use. This Organic Honey is highly rated and recommended for customers in India.,f56f5a83-1f28-4da6-a51e-2e92d95314cd,fe053bad-2afc-45b6-9fd4-3507e202c5ff,"['https://example.com/images/f56f5a83-1f28-4da6-a51e-2e92d95314cd_1.jpg', 'https://example.com/images/f56f5a83-1f28-4da6-a51e-2e92d95314cd_2.jpg']",cat_groc_05,"['grocery', 'happilo', 'india', 'trending']"
2025-12-02 16:24:39,22367.78,30559.28,4.8,1951,130,Bestseller,"{""Brand"": ""boAt"", ""Color"": ""Black"", ""Warranty"": ""2 Year"", ""Material"": ""Cotton""}",2025-11-04 16:24:39,Cocoblu Retail,boat-power-bank-lite-6599,boAt Power Bank Lite,High quality boAt Power Bank Lite from boAt. Perfect for daily use. This Power Bank is highly rated and recommended for customers in India.,d732ae68-ced3-4382-a275-4cb21bdf1cbf,7f5601f4-12c5-4331-ac08-4c1880bc383c,"['https://example.com/images/d732ae68-ced3-4382-a275-4cb21bdf1cbf_1.jpg', 'https://example.com/images/d732ae68-ced3-4382-a275-4cb21bdf1cbf_2.jpg']",cat_elec_01,"['electronics', 'boat', 'india', 'trending']"
2026-01-24 16:24:39,70992.01,79344.07,4.6,1923,87,Limited Time Deal,"{""Brand"": ""Apple"", ""Color"": ""Red"", ""Warranty"": ""1 Year"", ""Material"": ""Glass""}",2026-01-04 16:24:39,SuperComNet,apple-power-bank-v2-8391,Apple Power Bank v2,High quality Apple Power Bank v2 from Apple. Perfect for daily use. This Power Bank is highly rated and recommended for customers in India.,cfccdc42-2274-4ba7-9d20-591d2b51fa3d,8951597c-7ec7-4afe-8d96-419e6963b936,"['https://example.com/images/cfccdc42-2274-4ba7-9d20-591d2b51fa3d_1.jpg', 'https://example.com/images/cfccdc42-2274-4ba7-9d20-591d2b51fa3d_2.jpg']",cat_elec_01,"['electronics', 'apple', 'india', 'trending']"
2025-10-23 16:24:39,64016.54,78221.28,4.8,1129,0,Limited Time Deal,"{""Brand"": ""Havells"", ""Color"": ""Red"", ""Warranty"": ""1 Year"", ""Material"": ""Cotton""}",2025-10-14 16:24:39,Cocoblu Retail,havells-bedsheet-6353,Havells Bedsheet,High quality Havells Bedsheet from Havells. Perfect for daily use. This Bedsheet is highly rated and recommended for customers in India.,54ffd5bc-6d3e-49d3-a4d5-1b8d74571e3c,f399996f-57ef-4e20-aef9-306f47ca886e,"['https://example.com/images/54ffd5bc-6d3e-49d3-a4d5-1b8d74571e3c_1.jpg', 'https://example.com/images/54ffd5bc-6d3e-49d3-a4d5-1b8d74571e3c_2.jpg']",cat_home_02,"['home & kitchen', 'havells', 'india', 'trending']"
2026-01-29 16:24:39,25799.39,36128.98,4.5,215,86,,"{""Brand"": ""Nivea"", ""Color"": ""Blue"", ""Warranty"": ""1 Year"", ""Material"": ""Metal""}",2026-01-02 16:24:39,Cocoblu Retail,nivea-matte-lipstick-5164,Nivea Matte Lipstick,High quality Nivea Matte Lipstick from Nivea. Perfect for daily use. This Matte Lipstick is highly rated and recommended for customers in India.,4a7b7fdf-d237-4f41-ac12-6afb18bc6985,59765e08-1dc9-4a48-8d6a-ac20b6ee6d4c,"['https://example.com/images/4a7b7fdf-d237-4f41-ac12-6afb18bc6985_1.jpg', 'https://example.com/images/4a7b7fdf-d237-4f41-ac12-6afb18bc6985_2.jpg']",cat_beau_04,"['beauty & personal care', 'nivea', 'india', 'trending']"
2025-08-27 16:24:39,67710.3,74903.11,4.7,877,53,Amazon's Choice,"{""Brand"": ""The Derma Co"", ""Color"": ""White"", ""Warranty"": ""2 Year"", ""Material"": ""Glass""}",2025-08-13 16:24:39,Cocoblu Retail,the-derma-co-matte-lipstick-8002,The Derma Co Matte Lipstick,High quality The Derma Co Matte Lipstick from The Derma Co. Perfect for daily use. This Matte Lipstick is highly rated and recommended for customers in India.,03754395-54c7-469f-8a0e-ae8d4686e790,ee55020d-7082-437b-8443-3ac6934ba5cb,"['https://example.com/images/03754395-54c7-469f-8a0e-ae8d4686e790_1.jpg', 'https://example.com/images/03754395-54c7-469f-8a0e-ae8d4686e790_2.jpg']",cat_beau_04,"['beauty & personal care', 'the derma co', 'india', 'trending']"
2025-06-17 16:24:39,29129.22,38350.95,4.5,1078,103,Limited Time Deal,"{""Brand"": ""Levis"", ""Color"": ""Blue"", ""Warranty"": ""2 Year"", ""Material"": ""Metal""}",2025-05-28 16:24:39,SuperComNet,levis-running-shoes-8317,Levis Running Shoes,High quality Levis Running Shoes from Levis. Perfect for daily use. This Running Shoes is highly rated and recommended for customers in India.,d0c87f5c-4eb4-4261-982c-73c3d1a78f5c,4f675e41-4099-458a-9005-4a63871e9abc,"['https://example.com/images/d0c87f5c-4eb4-4261-982c-73c3d1a78f5c_1.jpg', 'https://example.com/images/d0c87f5c-4eb4-4261-982c-73c3d1a78f5c_2.jpg']",cat_fash_03,"['fashion', 'levis', 'india', 'trending']"
2026-01-30 16:24:39,8438.37,10362.36,4.8,748,103,Limited Time Deal,"{""Brand"": ""Xiaomi"", ""Color"": ""White"", ""Warranty"": ""1 Year"", ""Material"": ""Cotton""}",2026-01-30 16:24:39,Cloudtail India,xiaomi-smartwatch-v2-3780,Xiaomi Smartwatch v2,High quality Xiaomi Smartwatch v2 from Xiaomi. Perfect for daily use. This Smartwatch is highly rated and recommended for customers in India.,0c6bcf7f-7ca0-4773-9d3a-0f96da0024cf,14be5a9b-5c7c-4950-8321-7c382b33cce3,"['https://example.com/images/0c6bcf7f-7ca0-4773-9d3a-0f96da0024cf_1.jpg', 'https://example.com/images/0c6bcf7f-7ca0-4773-9d3a-0f96da0024cf_2.jpg']",cat_elec_01,"['electronics', 'xiaomi', 'india', 'trending']"
2025-08-04 16:24:39,48823.93,72284.67,3.5,1114,48,Bestseller,"{""Brand"": ""Puma"", ""Color"": ""Blue"", ""Warranty"": ""2 Year"", ""Material"": ""Glass""}",2025-07-21 16:24:39,Cloudtail India,puma-denim-jeans-4132,Puma Denim Jeans,High quality Puma Denim Jeans from Puma. Perfect for daily use. This Denim Jeans is highly rated and recommended for customers in India.,d3a2fa90-f3e0-43d1-93bc-f254835ac417,01982179-5f5a-401f-8e15-ab605b45f465,"['https://example.com/images/d3a2fa90-f3e0-43d1-93bc-f254835ac417_1.jpg', 'https://example.com/images/d3a2fa90-f3e0-43d1-93bc-f254835ac417_2.jpg']",cat_fash_03,"['fashion', 'puma', 'india', 'trending']"
2026-02-20 16:24:39,49047.05,60741.58,4.3,4997,171,Limited Time Deal,"{""Brand"": ""Nivea"", ""Color"": ""Blue"", ""Warranty"": ""2 Year"", ""Material"": ""Metal""}",2026-02-16 16:24:39,SuperComNet,nivea-face-wash-7465,Nivea Face Wash,High quality Nivea Face Wash from Nivea. Perfect for daily use. This Face Wash is highly rated and recommended for customers in India.,d9d23612-6c3a-403a-8cc9-b7c829de5072,dcdb9856-bead-4f60-bc98-e2235b6ad36a,"['https://example.com/images/d9d23612-6c3a-403a-8cc9-b7c829de5072_1.jpg', 'https://example.com/images/d9d23612-6c3a-403a-8cc9-b7c829de5072_2.jpg']",cat_beau_04,"['beauty & personal care', 'nivea', 'india', 'trending']"
2025-12-30 16:24:39,16625.07,19857.86,3.7,2878,16,Limited Time Deal,"{""Brand"": ""Sony"", ""Color"": ""Red"", ""Warranty"": ""2 Year"", ""Material"": ""Glass""}",2025-12-01 16:24:39,Appario Retail Private Ltd,sony-power-bank-pro-2720,Sony Power Bank Pro,High quality Sony Power Bank Pro from Sony. Perfect for daily use. This Power Bank is highly rated and recommended for customers in India.,8e7869a1-2171-4c2d-82b7-c74e0290b774,c472958f-960a-4ba2-93ab-dfc74009d83d,"['https://example.com/images/8e7869a1-2171-4c2d-82b7-c74e0290b774_1.jpg', 'https://example.com/images/8e7869a1-2171-4c2d-82b7-c74e0290b774_2.jpg']",cat_elec_01,"['electronics', 'sony', 'india', 'trending']"
2026-02-21 16:24:39,11928.21,15627.31,4.9,1495,11,Bestseller,"{""Brand"": ""Sony"", ""Color"": ""Red"", ""Warranty"": ""2 Year"", ""Material"": ""Cotton""}",2026-01-26 16:24:39,Appario Retail Private Ltd,sony-smartwatch-max-5272,Sony Smartwatch Max,High quality Sony Smartwatch Max from Sony. Perfect for daily use. This Smartwatch is highly rated and recommended for customers in India.,64b3c954-e32d-4764-9674-037cef917b12,bf4306d4-21b4-474a-9f25-bf994e6f11d3,"['https://example.com/images/64b3c954-e32d-4764-9674-037cef917b12_1.jpg', 'https://example.com/images/64b3c954-e32d-4764-9674-037cef917b12_2.jpg']",cat_elec_01,"['electronics', 'sony', 'india', 'trending']"
2025-04-04 16:24:39,39506.09,49182.8,4.3,1215,12,Limited Time Deal,"{""Brand"": ""Bajaj"", ""Color"": ""Red"", ""Warranty"": ""1 Year"", ""Material"": ""Cotton""}",2025-03-28 16:24:39,RetailNet,bajaj-mixer-grinder-8276,Bajaj Mixer Grinder,High quality Bajaj Mixer Grinder from Bajaj. Perfect for daily use. This Mixer Grinder is highly rated and recommended for customers in India.,46fcc887-444f-4b07-9788-584aa1dba424,abd340d0-f573-42f5-a0e0-bbf775be2634,"['https://example.com/images/46fcc887-444f-4b07-9788-584aa1dba424_1.jpg', 'https://example.com/images/46fcc887-444f-4b07-9788-584aa1dba424_2.jpg']",cat_home_02,"['home & kitchen', 'bajaj', 'india', 'trending']"
2025-08-26 16:24:39,55823.16,70963.62,4.4,1456,179,Bestseller,"{""Brand"": ""Bajaj"", ""Color"": ""White"", ""Warranty"": ""1 Year"", ""Material"": ""Metal""}",2025-08-06 16:24:39,SuperComNet,bajaj-electric-kettle-8939,Bajaj Electric Kettle,High quality Bajaj Electric Kettle from Bajaj. Perfect for daily use. This Electric Kettle is highly rated and recommended for customers in India.,b6214daf-1971-494d-90b3-d07176ebc479,5ac67eef-20bb-4e82-a7be-025cb6832e20,"['https://example.com/images/b6214daf-1971-494d-90b3-d07176ebc479_1.jpg', 'https://example.com/images/b6214daf-1971-494d-90b3-d07176ebc479_2.jpg']",cat_home_02,"['home & kitchen', 'bajaj', 'india', 'trending']"
2025-11-12 16:24:39,51886.34,72410.43,4.7,3780,73,Limited Time Deal,"{""Brand"": ""boAt"", ""Color"": ""White"", ""Warranty"": ""1 Year"", ""Material"": ""Metal""}",2025-11-12 16:24:39,SuperComNet,boat-laptop-pro-3749,boAt Laptop Pro,High quality boAt Laptop Pro from boAt. Perfect for daily use. This Laptop is highly rated and recommended for customers in India.,5d59e1a7-4a63-4b63-982d-2a70d4b2e92f,f35c86fa-7960-406c-ae47-55fed2f551a1,"['https://example.com/images/5d59e1a7-4a63-4b63-982d-2a70d4b2e92f_1.jpg', 'https://example.com/images/5d59e1a7-4a63-4b63-982d-2a70d4b2e92f_2.jpg']",cat_elec_01,"['electronics', 'boat', 'india', 'trending']"
2025-08-31 16:24:39,61375.59,85164.75,3.9,2462,160,Amazon's Choice,"{""Brand"": ""HP"", ""Color"": ""Red"", ""Warranty"": ""1 Year"", ""Material"": ""Metal""}",2025-08-08 16:24:39,SuperComNet,hp-smartphone-ultra-4638,HP Smartphone Ultra,High quality HP Smartphone Ultra from HP. Perfect for daily use. This Smartphone is highly rated and recommended for customers in India.,1e4c00f7-2547-4315-9c0f-72c692e009fa,3e5bfe0a-fb76-4bb8-ad59-15168b7dd530,"['https://example.com/images/1e4c00f7-2547-4315-9c0f-72c692e009fa_1.jpg', 'https://example.com/images/1e4c00f7-2547-4315-9c0f-72c692e009fa_2.jpg']",cat_elec_01,"['electronics', 'hp', 'india', 'trending']"
2025-08-17 16:24:39,70529.78,98495.97,4.0,4298,115,Amazon's Choice,"{""Brand"": ""Fortune"", ""Color"": ""White"", ""Warranty"": ""2 Year"", ""Material"": ""Glass""}",2025-08-12 16:24:39,RetailNet,fortune-basmati-rice-7098,Fortune Basmati Rice,High quality Fortune Basmati Rice from Fortune. Perfect for daily use. This Basmati Rice is highly rated and recommended for customers in India.,008b64ee-0484-40cd-890b-d0677d2defc9,9159e26a-539b-400b-9acd-07cedbfa30c5,"['https://example.com/images/008b64ee-0484-40cd-890b-d0677d2defc9_1.jpg', 'https://example.com/images/008b64ee-0484-40cd-890b-d0677d2defc9_2.jpg']",cat_groc_05,"['grocery', 'fortune', 'india', 'trending']"
2025-06-15 16:24:39,55035.71,79972.7,4.1,330,110,,"{""Brand"": ""Havells"", ""Color"": ""Black"", ""Warranty"": ""1 Year"", ""Material"": ""Plastic""}",2025-06-11 16:24:39,RetailNet,havells-electric-kettle-4782,Havells Electric Kettle,High quality Havells Electric Kettle from Havells. Perfect for daily use. This Electric Kettle is highly rated and recommended for customers in India.,b2ffa0c9-e13b-4596-b5b8-c1ac1901bf2e,47ef003b-ba42-4cd7-9dfb-6d4fe5cb3d9c,"['https://example.com/images/b2ffa0c9-e13b-4596-b5b8-c1ac1901bf2e_1.jpg', 'https://example.com/images/b2ffa0c9-e13b-4596-b5b8-c1ac1901bf2e_2.jpg']",cat_home_02,"['home & kitchen', 'havells', 'india', 'trending']"
2026-02-11 16:24:39,67781.77,92340.65,4.6,1584,19,,"{""Brand"": ""Xiaomi"", ""Color"": ""Silver"", ""Warranty"": ""1 Year"", ""Material"": ""Plastic""}",2026-01-22 16:24:39,Cocoblu Retail,xiaomi-wireless-earbuds-lite-1000,Xiaomi Wireless Earbuds Lite,High quality Xiaomi Wireless Earbuds Lite from Xiaomi. Perfect for daily use. This Wireless Earbuds is highly rated and recommended for customers in India.,92c68108-1557-47bf-9c41-0a160e1b89c4,03cfaab3-d65e-4992-9c49-dfcd4f7fba1f,"['https://example.com/images/92c68108-1557-47bf-9c41-0a160e1b89c4_1.jpg', 'https://example.com/images/92c68108-1557-47bf-9c41-0a160e1b89c4_2.jpg']",cat_elec_01,"['electronics', 'xiaomi', 'india', 'trending']"
2025-03-21 16:24:39,60646.79,68618.93,3.7,3540,99,,"{""Brand"": ""Havells"", ""Color"": ""Black"", ""Warranty"": ""1 Year"", ""Material"": ""Metal""}",2025-03-20 16:24:39,RetailNet,havells-electric-kettle-6103,Havells Electric Kettle,High quality Havells Electric Kettle from Havells. Perfect for daily use. This Electric Kettle is highly rated and recommended for customers in India.,fe151d0c-1d21-458b-9272-2647ff0e1edb,696181bb-0b3e-4e6e-9bc8-296acb42770f,"['https://example.com/images/fe151d0c-1d21-458b-9272-2647ff0e1edb_1.jpg', 'https://example.com/images/fe151d0c-1d21-458b-9272-2647ff0e1edb_2.jpg']",cat_home_02,"['home & kitchen', 'havells', 'india', 'trending']"
2025-07-08 16:24:39,46766.44,55587.71,3.7,3193,63,Bestseller,"{""Brand"": ""FabIndia"", ""Color"": ""Red"", ""Warranty"": ""1 Year"", ""Material"": ""Plastic""}",2025-06-21 16:24:39,Cocoblu Retail,fabindia-silk-saree-1853,FabIndia Silk Saree,High quality FabIndia Silk Saree from FabIndia. Perfect for daily use. This Silk Saree is highly rated and recommended for customers in India.,788d25c2-8b6a-429b-a51e-0920723affad,0dde33ea-affe-4b5e-8e13-184e63a0e24f,"['https://example.com/images/788d25c2-8b6a-429b-a51e-0920723affad_1.jpg', 'https://example.com/images/788d25c2-8b6a-429b-a51e-0920723affad_2.jpg']",cat_fash_03,"['fashion', 'fabindia', 'india', 'trending']"
2025-09-11 16:24:39,70383.12,89382.64,3.8,4706,199,Bestseller,"{""Brand"": ""FabIndia"", ""Color"": ""White"", ""Warranty"": ""2 Year"", ""Material"": ""Cotton""}",2025-08-24 16:24:39,Cocoblu Retail,fabindia-denim-jeans-9829,FabIndia Denim Jeans,High quality FabIndia Denim Jeans from FabIndia. Perfect for daily use. This Denim Jeans is highly rated and recommended for customers in India.,f3b75679-1c1d-48cf-95a7-697dbf44f7a3,d715d6a5-1f6c-4c97-9b61-682396e81beb,"['https://example.com/images/f3b75679-1c1d-48cf-95a7-697dbf44f7a3_1.jpg', 'https://example.com/images/f3b75679-1c1d-48cf-95a7-697dbf44f7a3_2.jpg']",cat_fash_03,"['fashion', 'fabindia', 'india', 'trending']"
2025-07-19 16:24:39,234.2,271.08,4.8,4347,183,Amazon's Choice,"{""Brand"": ""FabIndia"", ""Color"": ""White"", ""Warranty"": ""2 Year"", ""Material"": ""Cotton""}",2025-06-23 16:24:39,Cocoblu Retail,fabindia-silk-saree-7925,FabIndia Silk Saree,High quality FabIndia Silk Saree from FabIndia. Perfect for daily use. This Silk Saree is highly rated and recommended for customers in India.,44c2ceb5-96f7-467d-8810-46114970ede3,9d5ebd52-ef67-4321-a08c-012caed6d5fd,"['https://example.com/images/44c2ceb5-96f7-467d-8810-46114970ede3_1.jpg', 'https://example.com/images/44c2ceb5-96f7-467d-8810-46114970ede3_2.jpg']",cat_fash_03,"['fashion', 'fabindia', 'india', 'trending']"
2025-06-17 16:24:39,59907.8,84847.94,4.1,239,14,Bestseller,"{""Brand"": ""Biba"", ""Color"": ""Black"", ""Warranty"": ""2 Year"", ""Material"": ""Glass""}",2025-05-25 16:24:39,SuperComNet,biba-silk-saree-9880,Biba Silk Saree,High quality Biba Silk Saree from Biba. Perfect for daily use. This Silk Saree is highly rated and recommended for customers in India.,f9257d94-3191-4092-9e1b-f73ce560178a,27a52aeb-c320-4b8b-ab8b-e6712181203b,"['https://example.com/images/f9257d94-3191-4092-9e1b-f73ce560178a_1.jpg', 'https://example.com/images/f9257d94-3191-4092-9e1b-f73ce560178a_2.jpg']",cat_fash_03,"['fashion', 'biba', 'india', 'trending']"
2026-02-20 16:24:39,45406.21,67653.7,3.7,2017,65,Amazon's Choice,"{""Brand"": ""Bajaj"", ""Color"": ""Silver"", ""Warranty"": ""2 Year"", ""Material"": ""Cotton""}",2026-02-04 16:24:39,Appario Retail Private Ltd,bajaj-cookware-set-1878,Bajaj Cookware Set,High quality Bajaj Cookware Set from Bajaj. Perfect for daily use. This Cookware Set is highly rated and recommended for customers in India.,3a534333-da40-427e-9ebe-9b8779baa9a2,bc42f197-3741-4e44-85de-3cf525b273d2,"['https://example.com/images/3a534333-da40-427e-9ebe-9b8779baa9a2_1.jpg', 'https://example.com/images/3a534333-da40-427e-9ebe-9b8779baa9a2_2.jpg']",cat_home_02,"['home & kitchen', 'bajaj', 'india', 'trending']"
2025-05-21 16:24:39,71804.26,91444.19,3.7,4144,99,Limited Time Deal,"{""Brand"": ""Lakme"", ""Color"": ""White"", ""Warranty"": ""2 Year"", ""Material"": ""Cotton""}",2025-04-23 16:24:39,Cocoblu Retail,lakme-perfume-4367,Lakme Perfume,High quality Lakme Perfume from Lakme. Perfect for daily use. This Perfume is highly rated and recommended for customers in India.,0c03f4ba-b174-4582-a988-588b6422a5df,d75e69a6-adfe-42eb-94e5-66f49e3d4604,"['https://example.com/images/0c03f4ba-b174-4582-a988-588b6422a5df_1.jpg', 'https://example.com/images/0c03f4ba-b174-4582-a988-588b6422a5df_2.jpg']",cat_beau_04,"['beauty & personal care', 'lakme', 'india', 'trending']"
2026-01-20 16:24:39,41090.24,58265.28,3.9,4920,64,Amazon's Choice,"{""Brand"": ""FabIndia"", ""Color"": ""White"", ""Warranty"": ""1 Year"", ""Material"": ""Glass""}",2026-01-12 16:24:39,Appario Retail Private Ltd,fabindia-cotton-t-shirt-1911,FabIndia Cotton T-shirt,High quality FabIndia Cotton T-shirt from FabIndia. Perfect for daily use. This Cotton T-shirt is highly rated and recommended for customers in India.,a9e37596-34a6-4626-b23b-dc27be17346f,67f1355d-aa14-4b34-84e7-766f63a76df2,"['https://example.com/images/a9e37596-34a6-4626-b23b-dc27be17346f_1.jpg', 'https://example.com/images/a9e37596-34a6-4626-b23b-dc27be17346f_2.jpg']",cat_fash_03,"['fashion', 'fabindia', 'india', 'trending']"
2025-08-04 16:24:39,5984.86,8499.96,4.0,1092,72,Limited Time Deal,"{""Brand"": ""The Derma Co"", ""Color"": ""White"", ""Warranty"": ""2 Year"", ""Material"": ""Cotton""}",2025-07-10 16:24:39,Cloudtail India,the-derma-co-hair-oil-9680,The Derma Co Hair Oil,High quality The Derma Co Hair Oil from The Derma Co. Perfect for daily use. This Hair Oil is highly rated and recommended for customers in India.,74a101b9-7fe2-4cc9-865c-b61203c3fb15,53c9642d-dc47-4639-8acf-25dc830cb327,"['https://example.com/images/74a101b9-7fe2-4cc9-865c-b61203c3fb15_1.jpg', 'https://example.com/images/74a101b9-7fe2-4cc9-865c-b61203c3fb15_2.jpg']",cat_beau_04,"['beauty & personal care', 'the derma co', 'india', 'trending']"
2026-02-23 16:24:39,20638.86,28848.13,4.1,3314,125,Bestseller,"{""Brand"": ""Havells"", ""Color"": ""Silver"", ""Warranty"": ""1 Year"", ""Material"": ""Glass""}",2026-02-14 16:24:39,RetailNet,havells-electric-kettle-9318,Havells Electric Kettle,High quality Havells Electric Kettle from Havells. Perfect for daily use. This Electric Kettle is highly rated and recommended for customers in India.,773cfa82-8b40-4990-8c66-5ddf8715f5ea,ee1786f9-c80e-4e5e-869a-24a355941015,"['https://example.com/images/773cfa82-8b40-4990-8c66-5ddf8715f5ea_1.jpg', 'https://example.com/images/773cfa82-8b40-4990-8c66-5ddf8715f5ea_2.jpg']",cat_home_02,"['home & kitchen', 'havells', 'india', 'trending']"
2026-02-20 16:24:39,65558.24,87694.4,4.8,3300,72,Amazon's Choice,"{""Brand"": ""Dell"", ""Color"": ""Red"", ""Warranty"": ""2 Year"", ""Material"": ""Glass""}",2026-02-04 16:24:39,Cloudtail India,dell-power-bank-max-8214,Dell Power Bank Max,High quality Dell Power Bank Max from Dell. Perfect for daily use. This Power Bank is highly rated and recommended for customers in India.,cc2a6c77-9867-4401-bac0-0d3eea94d018,e237c3eb-2234-484e-b40e-5f0e329790eb,"['https://example.com/images/cc2a6c77-9867-4401-bac0-0d3eea94d018_1.jpg', 'https://example.com/images/cc2a6c77-9867-4401-bac0-0d3eea94d018_2.jpg']",cat_elec_01,"['electronics', 'dell', 'india', 'trending']"
2025-05-05 16:24:39,12667.64,18542.09,4.9,1990,197,Bestseller,"{""Brand"": ""Allen Solly"", ""Color"": ""Silver"", ""Warranty"": ""1 Year"", ""Material"": ""Plastic""}",2025-04-09 16:24:39,Cocoblu Retail,allen-solly-leather-wallet-3971,Allen Solly Leather Wallet,High quality Allen Solly Leather Wallet from Allen Solly. Perfect for daily use. This Leather Wallet is highly rated and recommended for customers in India.,6a8e1150-a5e1-4697-80e5-f4d2eca33856,9e266d46-5ec0-434f-8f3a-769c6bdc6505,"['https://example.com/images/6a8e1150-a5e1-4697-80e5-f4d2eca33856_1.jpg', 'https://example.com/images/6a8e1150-a5e1-4697-80e5-f4d2eca33856_2.jpg']",cat_fash_03,"['fashion', 'allen solly', 'india', 'trending']"
